Interval=	0.0025 s
ExcelDateTime=	4.6155600778630804e+004	5/13/2026 14:25:07.273702
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	EEG
Range=	200.0 µV
29.5	-26.96875
29.5025	-24.93125
29.505	-20.56875
29.5075	-13.25625
29.51	-5.75625
29.5125	-2.4375
29.515	-3.3125
29.5175	-4.925
29.52	-4.3125
29.5225	-3.475
29.525	-4.85625
29.5275	-6.34375
29.53	-7.35625
29.5325	-9.775
29.535	-12.45625
29.5375	-12.15
29.54	-8.23125
29.5425	-3.45625
29.545	-1.75
29.5475	-2.83125
29.55	-3.3875
29.5525	-3.15
29.555	-1.06875
29.5575	4.39375
29.56	7.79375
29.5625	4.88125
29.565	0.98125
29.5675	1.55
29.57	5.94375
29.5725	12.14375
29.575	16.50625
29.5775	14.7
29.58	8.4125
29.5825	5.8125
29.585	9.45625
29.5875	11.35625
29.59	6.06875
29.5925	-2.175
29.595	-7.66875
29.5975	-9.2125
29.6	-7.61875
29.6025	-5.75
29.605	-6.425
29.6075	-9.125
29.61	-11.46875
29.6125	-11.35625
29.615	-7.45625
29.6175	-0.975
29.62	4.19375
29.6225	8.675
29.625	15.8375
29.6275	22.40625
29.63	26.89375
29.6325	33.51875
29.635	41.425
29.6375	43.89375
29.64	39.2375
29.6425	31.8375
29.645	26.4125
29.6475	25.6375
29.65	28.625
29.6525	34.2875
29.655	42.6875
29.6575	49.75
29.66	47.99375
29.6625	39.1
29.665	33.5625
29.6675	32.5125
29.67	28.98125
29.6725	23.93125
29.675	20.65
29.6775	15.1375
29.68	5.21875
29.6825	-3.16875
29.685	-5.4
29.6875	-2.80625
29.69	0.89375
29.6925	2.45625
29.695	0.74375
29.6975	-2.2625
29.7	-2.93125
29.7025	0.11875
29.705	5.09375
29.7075	10.125
29.71	15.69375
29.7125	22.475
29.715	26.3625
29.7175	21.79375
29.72	11.53125
29.7225	5.14375
29.725	5.41875
29.7275	7.38125
29.73	8.5
29.7325	11.6
29.735	19.9375
29.7375	31.68125
29.74	39.625
29.7425	36.74375
29.745	25.00625
29.7475	14.75625
29.75	12.76875
29.7525	16.30625
29.755	20.45625
29.7575	23.225
29.76	23.9
29.7625	19.8125
29.765	8.3125
29.7675	-6.98125
29.77	-18.95
29.7725	-26.225
29.775	-30.63125
29.7775	-32.81875
29.78	-34.88125
29.7825	-37.05
29.785	-37.89375
29.7875	-37.775
29.79	-38.1
29.7925	-39.95625
29.795	-43.425
29.7975	-45.66875
29.8	-45.66875
29.8025	-45.19375
29.805	-43.4375
29.8075	-41.4625
29.81	-43.1125
29.8125	-47.2375
29.815	-46.3875
29.8175	-39.15
29.82	-34.40625
29.8225	-37.7625
29.825	-43.23125
29.8275	-44.19375
29.83	-40.74375
29.8325	-34.30625
29.835	-27.56875
29.8375	-24.36875
29.84	-26.00625
29.8425	-31.25625
29.845	-38.3125
29.8475	-43
29.85	-42.99375
29.8525	-42.325
29.855	-45.48125
29.8575	-51.95
29.86	-60.46875
29.8625	-68.3625
29.865	-70.5375
29.8675	-67.9875
29.87	-66.4
29.8725	-66.95625
29.875	-68.6375
29.8775	-74.36875
29.88	-85.50625
29.8825	-97.0125
29.885	-102.5937
29.8875	-99.8
29.89	-89.45
29.8925	-76.89375
29.895	-70.85625
29.8975	-72.975
29.9	-75.3125
29.9025	-73.10625
29.905	-68.43125
29.9075	-64.125
29.91	-62.5125
29.9125	-63.825
29.915	-64.58125
29.9175	-61.80625
29.92	-56.48125
29.9225	-52.325
29.925	-52.6375
29.9275	-57
29.93	-59.63125
29.9325	-56.55
29.935	-52.84375
29.9375	-54.24375
29.94	-58.83125
29.9425	-63.375
29.945	-67.44375
29.9475	-70.55
29.95	-73.775
29.9525	-77.8875
29.955	-79.09375
29.9575	-73.15625
29.96	-64.5625
29.9625	-64.35
29.965	-75.8125
29.9675	-88.24375
29.97	-89.31875
29.9725	-80.7875
29.975	-73.4625
29.9775	-71.43125
29.98	-72.325
29.9825	-73.9375
29.985	-72.65625
29.9875	-65.61875
29.99	-56.4375
29.9925	-51.1875
29.995	-52.15625
29.9975	-55.175
30	-54.3375
30.0025	-48.33125
30.005	-39.6625
30.0075	-31
30.01	-23.425
30.0125	-18.41875
30.015	-16.21875
30.0175	-13.5875
30.02	-9.3875
30.0225	-7.4125
30.025	-10.65625
30.0275	-17.79375
30.03	-24.25625
30.0325	-25.2125
30.035	-19.675
30.0375	-10.6
30.04	-3.0625
30.0425	-0.9125
30.045	-2.9
30.0475	-5.8625
30.05	-9.63125
30.0525	-14.35
30.055	-18.225
30.0575	-20.44375
30.06	-21.76875
30.0625	-21.00625
30.065	-16.6875
30.0675	-11.15625
30.07	-7.25
30.0725	-6.15625
30.075	-7.4625
30.0775	-10.2875
30.08	-12.23125
30.0825	-10.6125
30.085	-7.625
30.0875	-7.1125
30.09	-8.34375
30.0925	-8.8375
30.095	-9.39375
30.0975	-10.91875
30.1	-11.0625
30.1025	-6.55
30.105	2.75625
30.1075	12.2875
30.11	16.56875
30.1125	12.90625
30.115	5.375
30.1175	2.3625
30.12	6.13125
30.1225	11.04375
30.125	12.75
30.1275	11.975
30.13	8.85
30.1325	3.5875
30.135	0.05
30.1375	1.2625
30.14	5.78125
30.1425	10.43125
30.145	14.35
30.1475	17.18125
30.15	14.40625
30.1525	6.3875
30.155	1.3875
30.1575	2.7875
30.16	6.23125
30.1625	8.54375
30.165	9.33125
30.1675	9.8625
30.17	13.9
30.1725	19.425
30.175	19.64375
30.1775	12.525
30.18	3.5375
30.1825	-0.8625
30.185	1.61875
30.1875	8.86875
30.19	14.91875
30.1925	15.6125
30.195	12.2625
30.1975	9.30625
30.2	8.6375
30.2025	8.725
30.205	8.975
30.2075	8.9875
30.21	7
30.2125	4.21875
30.215	5.3375
30.2175	10.175
30.22	13.2875
30.2225	12.925
30.225	12.8625
30.2275	12.69375
30.23	6.79375
30.2325	-3.725
30.235	-10.4375
30.2375	-10.45625
30.24	-8.35625
30.2425	-6.85625
30.245	-6.3875
30.2475	-7.09375
30.25	-6.675
30.2525	-2.45
30.255	4.81875
30.2575	7.5
30.26	-1.70625
30.2625	-18.0375
30.265	-28.48125
30.2675	-27.5375
30.27	-20.18125
30.2725	-12.44375
30.275	-7.11875
30.2775	-3.88125
30.28	-0.56875
30.2825	4.18125
30.285	8.5
30.2875	10.20625
30.29	9.61875
30.2925	7.7375
30.295	4.9125
30.2975	3.3125
30.3	4.96875
30.3025	7.24375
30.305	6.08125
30.3075	2.05625
30.31	-0.9
30.3125	-1.8
30.315	-2.76875
30.3175	-4.975
30.32	-5.4625
30.3225	-2.7125
30.325	-0.7375
30.3275	-2.94375
30.33	-7.53125
30.3325	-9.90625
30.335	-8.20625
30.3375	-3.9125
30.34	1.09375
30.3425	4.6375
30.345	5.14375
30.3475	5.0375
30.35	7.3625
30.3525	10.8125
30.355	13.64375
30.3575	16.975
30.36	20.2125
30.3625	20.825
30.365	19.3
30.3675	18.94375
30.37	20.9
30.3725	22.94375
30.375	24.65625
30.3775	30.6125
30.38	37.625
30.3825	33.50625
30.385	17.5
30.3875	3.1625
30.39	-0.8875
30.3925	2.78125
30.395	6.9
30.3975	6.53125
30.4	4.21875
30.4025	4.59375
30.405	7.125
30.4075	7.90625
30.41	5.575
30.4125	2.31875
30.415	1.8625
30.4175	6.59375
30.42	15.0125
30.4225	23.575
30.425	27.7125
30.4275	22.68125
30.43	10.7875
30.4325	2.49375
30.435	3.99375
30.4375	11.16875
30.44	17.14375
30.4425	18.50625
30.445	15.99375
30.4475	13.54375
30.45	15.93125
30.4525	23.01875
30.455	27.7
30.4575	25.775
30.46	19.79375
30.4625	13.79375
30.465	9.63125
30.4675	6.21875
30.47	3.5
30.4725	4.6375
30.475	9.5625
30.4775	12.7375
30.48	12.20625
30.4825	11.23125
30.485	12.96875
30.4875	16.825
30.49	18.6875
30.4925	15.71875
30.495	9.5
30.4975	3.75
30.5	0.7375
30.5025	0.79375
30.505	2.78125
30.5075	4.06875
30.51	3.14375
30.5125	1.83125
30.515	2.81875
30.5175	6.13125
30.52	10.23125
30.5225	13.5625
30.525	12.75
30.5275	5.625
30.53	-2.45625
30.5325	-4.9125
30.535	-2.975
30.5375	-0.3375
30.54	2.76875
30.5425	5.6875
30.545	4.49375
30.5475	-2.525
30.55	-10.1125
30.5525	-11.1
30.555	-5.0125
30.5575	1.96875
30.56	4.5875
30.5625	1.4625
30.565	-5.23125
30.5675	-9.96875
30.57	-10.1125
30.5725	-8.6625
30.575	-8.2
30.5775	-9.95
30.58	-15.04375
30.5825	-19.7
30.585	-19.70625
30.5875	-16.04375
30.59	-10.325
30.5925	-6.5125
30.595	-9.33125
30.5975	-15.05
30.6	-15.0625
30.6025	-8.95625
30.605	-4.125
30.6075	-4.45625
30.61	-6.9125
30.6125	-9.25625
30.615	-11.275
30.6175	-9.875
30.62	-3.49375
30.6225	3.125
30.625	4.78125
30.6275	0.91875
30.63	-6.5125
30.6325	-14.14375
30.635	-17.43125
30.6375	-13.66875
30.64	-5.9625
30.6425	-0.125
30.645	0.29375
30.6475	-4.05
30.65	-9.55625
30.6525	-13.40625
30.655	-14.81875
30.6575	-14.49375
30.66	-14.3875
30.6625	-15.6375
30.665	-16.3625
30.6675	-15.59375
30.67	-14.06875
30.6725	-11.225
30.675	-8.65625
30.6775	-10.3
30.68	-14.56875
30.6825	-16.75
30.685	-16.675
30.6875	-15.4625
30.69	-13.70625
30.6925	-14.6125
30.695	-19.625
30.6975	-25.2875
30.7	-27.6375
30.7025	-23.59375
30.705	-13.73125
30.7075	-5.70625
30.71	-5.18125
30.7125	-8.4625
30.715	-10.2125
30.7175	-9.66875
30.72	-6.5125
30.7225	-1.30625
30.725	1.61875
30.7275	0.425
30.73	-0.825
30.7325	0.55625
30.735	1.425
30.7375	-0.48125
30.74	-2.8375
30.7425	-3.11875
30.745	-2.35625
30.7475	-2.1875
30.75	-1.7125
30.7525	-0.6125
30.755	-0.46875
30.7575	-1.73125
30.76	-3.33125
30.7625	-5.06875
30.765	-6.125
30.7675	-4.26875
30.77	0.66875
30.7725	5.3625
30.775	7.29375
30.7775	5.28125
30.78	-0.31875
30.7825	-5.11875
30.785	-4.48125
30.7875	1.35625
30.79	10.5875
30.7925	19.93125
30.795	22.79375
30.7975	18.8125
30.8	15.2375
30.8025	15.9625
30.805	18.85625
30.8075	20.9625
30.81	20.2875
30.8125	17.51875
30.815	16.95625
30.8175	22.34375
30.82	30.9375
30.8225	35.15
30.825	29.84375
30.8275	18.44375
30.83	8.4875
30.8325	4.05
30.835	6.4
30.8375	12.75
30.84	17.60625
30.8425	16.53125
30.845	9.28125
30.8475	1.04375
30.85	-1.6
30.8525	1.79375
30.855	7.61875
30.8575	13.5625
30.86	15.25
30.8625	9.2125
30.865	-0.99375
30.8675	-7.28125
30.87	-4.8375
30.8725	3.29375
30.875	10.4375
30.8775	12.25
30.88	8.75625
30.8825	4.5875
30.885	5.09375
30.8875	11.7
30.89	19.4625
30.8925	22.05
30.895	18.25
30.8975	12.00625
30.9	8.75625
30.9025	11.5
30.905	18.0125
30.9075	20.74375
30.91	16.08125
30.9125	7.80625
30.915	2.41875
30.9175	4.05625
30.92	11.34375
30.9225	19.35
30.925	23.39375
30.9275	21.6875
30.93	15.75625
30.9325	10.5875
30.935	9.36875
30.9375	12.38125
30.94	18.5625
30.9425	22.99375
30.945	19.725
30.9475	9.3375
30.95	-0.7
30.9525	-5.45
30.955	-6.25625
30.9575	-5.68125
30.96	-3.01875
30.9625	-0.10625
30.965	-1.2
30.9675	-4.475
30.97	-3.93125
30.9725	-0.23125
30.975	1.4375
30.9775	1.26875
30.98	0.73125
30.9825	-1.54375
30.985	-3.36875
30.9875	-0.9125
30.99	3.675
30.9925	6.91875
30.995	7.65625
30.9975	4.8
31	1.6125
31.0025	4.6125
31.005	12.48125
31.0075	17.7125
31.01	17.825
31.0125	16.54375
31.015	15.28125
31.0175	12
31.02	8.6875
31.0225	7.40625
31.025	5.40625
31.0275	1.275
31.03	-4.04375
31.0325	-8.56875
31.035	-10.425
31.0375	-9.8125
31.04	-8.6375
31.0425	-8.75
31.045	-11.46875
31.0475	-12.11875
31.05	-4.0375
31.0525	6.48125
31.055	7.575
31.0575	-0.075
31.06	-6.16875
31.0625	-6.425
31.065	-3.475
31.0675	1.95
31.07	10.43125
31.0725	19.51875
31.075	25.01875
31.0775	24.9875
31.08	21.3875
31.0825	17.93125
31.085	17.7375
31.0875	21.05
31.09	23.65625
31.0925	22.75
31.095	21.1125
31.0975	20.71875
31.1	19.00625
31.1025	15.34375
31.105	12.425
31.1075	10.05625
31.11	7.3
31.1125	3.2
31.115	-4.78125
31.1175	-14.8125
31.12	-19.7625
31.1225	-17.93125
31.125	-14.24375
31.1275	-11.925
31.13	-11.51875
31.1325	-9.53125
31.135	-2.3
31.1375	10.71875
31.14	24.48125
31.1425	27.18125
31.145	14.04375
31.1475	-2.50625
31.15	-8.90625
31.1525	-5.3
31.155	3.73125
31.1575	12.3875
31.16	15.59375
31.1625	15.65625
31.165	15.41875
31.1675	10.89375
31.17	3.225
31.1725	1.35625
31.175	3.875
31.1775	3.34375
31.18	0.58125
31.1825	-1.5625
31.185	-4.6625
31.1875	-8.18125
31.19	-10.13125
31.1925	-11.9125
31.195	-14.30625
31.1975	-16
31.2	-16.81875
31.2025	-17.54375
31.205	-17.0875
31.2075	-14.35
31.21	-11.56875
31.2125	-11.125
31.215	-11.36875
31.2175	-9.5375
31.22	-5.925
31.2225	-3.15
31.225	-2.90625
31.2275	-4.06875
31.23	-5.98125
31.2325	-7.93125
31.235	-7.05
31.2375	-3.06875
31.24	-0.375
31.2425	-4.3375
31.245	-16.85625
31.2475	-30.6375
31.25	-34.78125
31.2525	-30.125
31.255	-23.4625
31.2575	-17.63125
31.26	-18.15625
31.2625	-29.4625
31.265	-44.9375
31.2675	-52.575
31.27	-50.0625
31.2725	-44.76875
31.275	-42.61875
31.2775	-44.30625
31.28	-48.50625
31.2825	-51.14375
31.285	-48.84375
31.2875	-45.84375
31.29	-46.6
31.2925	-48.78125
31.295	-50.3875
31.2975	-52.84375
31.3	-54.48125
31.3025	-52.98125
31.305	-49.44375
31.3075	-45.85625
31.31	-43.5625
31.3125	-43.76875
31.315	-45.18125
31.3175	-45.93125
31.32	-46.15
31.3225	-46.05625
31.325	-46.75
31.3275	-49.75625
31.33	-54.0375
31.3325	-54.95625
31.335	-48.95625
31.3375	-38.575
31.34	-30.28125
31.3425	-25.9875
31.345	-25.775
31.3475	-32.7125
31.35	-43.45
31.3525	-48.175
31.355	-43.2875
31.3575	-33.16875
31.36	-22.63125
31.3625	-13.21875
31.365	-5.575
31.3675	-2.23125
31.37	-3.83125
31.3725	-9.3125
31.375	-19.68125
31.3775	-30.4125
31.38	-32.29375
31.3825	-26.0625
31.385	-20.2625
31.3875	-17.45
31.39	-16.56875
31.3925	-19.60625
31.395	-25.15625
31.3975	-25.8125
31.4	-20.0125
31.4025	-14.79375
31.405	-10.4875
31.4075	-3.30625
31.41	0.46875
31.4125	-6.5625
31.415	-17.80625
31.4175	-23.4
31.42	-23.13125
31.4225	-18.84375
31.425	-12.6625
31.4275	-11.09375
31.43	-17.1125
31.4325	-23.46875
31.435	-23.8875
31.4375	-21.20625
31.44	-17.01875
31.4425	-10.84375
31.445	-7.45625
31.4475	-11.1375
31.45	-17.01875
31.4525	-17.81875
31.455	-13.325
31.4575	-8.60625
31.46	-7.51875
31.4625	-7.30625
31.465	-4.65
31.4675	-1.46875
31.47	-0.6
31.4725	-1.1875
31.475	0.35625
31.4775	4.64375
31.48	5.275
31.4825	-1.9625
31.485	-9.975
31.4875	-11.225
31.49	-7.20625
31.4925	-0.16875
31.495	7.69375
31.4975	10.08125
31.5	6.41875
31.5025	3.8875
31.505	4.63125
31.5075	5.6875
31.51	6.3375
31.5125	8.41875
31.515	12.73125
31.5175	15.925
31.52	15.08125
31.5225	13.21875
31.525	12.5625
31.5275	9.6875
31.53	4.16875
31.5325	0.81875
31.535	3.15
31.5375	9.64375
31.54	16.51875
31.5425	20.00625
31.545	19.30625
31.5475	19.2125
31.55	21.38125
31.5525	19.90625
31.555	12.5125
31.5575	4.69375
31.56	0.4625
31.5625	-0.85
31.565	0.3375
31.5675	2.725
31.57	2.6375
31.5725	0.54375
31.575	1.825
31.5775	3.86875
31.58	1.5375
31.5825	1.7375
31.585	7.125
31.5875	7.9125
31.59	2.2875
31.5925	-1.23125
31.595	0.7125
31.5975	6.325
31.6	10.60625
31.6025	8.68125
31.605	3.93125
31.6075	3.55
31.61	7.53125
31.6125	10.54375
31.615	11.94375
31.6175	13.6875
31.62	15.95625
31.6225	17.65
31.625	16.20625
31.6275	10.875
31.63	6.9625
31.6325	7.8875
31.635	13.49375
31.6375	23.71875
31.64	33.19375
31.6425	34.2875
31.645	27.85
31.6475	20.275
31.65	15.0375
31.6525	10.95
31.655	7.025
31.6575	5.5875
31.66	6.01875
31.6625	3.9625
31.665	1.33125
31.6675	5.38125
31.67	12.9375
31.6725	14.53125
31.675	8.91875
31.6775	0.09375
31.68	-8.44375
31.6825	-11.4375
31.685	-6.29375
31.6875	3.29375
31.69	10.70625
31.6925	9.38125
31.695	0.675
31.6975	-4.99375
31.7	-0.3625
31.7025	11.99375
31.705	24.4
31.7075	31.93125
31.71	34.6625
31.7125	28.8875
31.715	13.625
31.7175	2.2125
31.72	4.31875
31.7225	11.94375
31.725	13.25625
31.7275	3.9875
31.73	-11.83125
31.7325	-22.15
31.735	-20.28125
31.7375	-10.1
31.74	5.05
31.7425	19.63125
31.745	23.9875
31.7475	17.66875
31.75	9.8125
31.7525	4.6125
31.755	1.1875
31.7575	0.56875
31.76	2.4625
31.7625	3.36875
31.765	0.6
31.7675	-4.8375
31.77	-11.29375
31.7725	-19.03125
31.775	-26.09375
31.7775	-30.3
31.78	-26.79375
31.7825	-8.88125
31.785	13.24375
31.7875	16.98125
31.79	-2.175
31.7925	-27.7
31.795	-44.50625
31.7975	-47.3875
31.8	-39.28125
31.8025	-27.88125
31.805	-19.20625
31.8075	-14.6875
31.81	-13.13125
31.8125	-13.65
31.815	-15.0125
31.8175	-15.625
31.82	-14.60625
31.8225	-10.95625
31.825	-6.33125
31.8275	-6.95625
31.83	-15.05
31.8325	-22.15625
31.835	-19.13125
31.8375	-8.20625
31.84	1.75
31.8425	5.075
31.845	1.11875
31.8475	-7.95625
31.85	-17.80625
31.8525	-22.2875
31.855	-18.1625
31.8575	-8.38125
31.86	-1.45
31.8625	-1.525
31.865	-2.76875
31.8675	-3.3
31.87	-8.6375
31.8725	-16.1375
31.875	-20.1125
31.8775	-21.24375
31.88	-20.875
31.8825	-20.5
31.885	-20.85
31.8875	-21.2375
31.89	-22.2
31.8925	-20.88125
31.895	-12.1
31.8975	-2.675
31.9	-1.025
31.9025	-2.0375
31.905	-0.84375
31.9075	-3.49375
31.91	-9.56875
31.9125	-7.91875
31.915	0.48125
31.9175	1.75
31.92	-8.825
31.9225	-21.83125
31.925	-28.23125
31.9275	-27.34375
31.93	-22.46875
31.9325	-16.41875
31.935	-8.45
31.9375	5.08125
31.94	18.7125
31.9425	19.54375
31.945	3.26875
31.9475	-22.775
31.95	-45.31875
31.9525	-50.26875
31.955	-38.025
