Interval=	0.0025 s
ExcelDateTime=	4.6155602187774326e+004	5/13/2026 14:27:09.023702
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	EEG
Range=	200.0 µV
151.25	16.13125
151.2525	18.09375
151.255	11.46875
151.2575	3.84375
151.26	1.38125
151.2625	1.95625
151.265	-0.54375
151.2675	-6.3875
151.27	-8.16875
151.2725	-4.0625
151.275	-1.45
151.2775	-4.24375
151.28	-7.79375
151.2825	-9.325
151.285	-10.725
151.2875	-8.5375
151.29	2.15625
151.2925	17.05
151.295	25.95
151.2975	22.1
151.3	5.8375
151.3025	-14.69375
151.305	-27.7625
151.3075	-28.025
151.31	-19.59375
151.3125	-10.625
151.315	-4.65
151.3175	-1.2875
151.32	-0.86875
151.3225	-2.8
151.325	-3.65
151.3275	-2.38125
151.33	2.43125
151.3325	11.54375
151.335	13.9875
151.3375	0.5375
151.34	-18.14375
151.3425	-26.6125
151.345	-21.35
151.3475	-4.11875
151.35	14.5875
151.3525	20.7125
151.355	16.80625
151.3575	15.075
151.36	19.29375
151.3625	25.4875
151.365	28.8125
151.3675	25.55
151.37	13.65625
151.3725	-2.93125
151.375	-15.16875
151.3775	-17.06875
151.38	-8.35
151.3825	5.7625
151.385	12.7
151.3875	7.34375
151.39	0.125
151.3925	-2.44375
151.395	-3.2875
151.3975	-1.93125
151.4	1.24375
151.4025	1.31875
151.405	-0.10625
151.4075	4.0875
151.41	13.05
151.4125	19.83125
151.415	22.9
151.4175	22.3875
151.42	15.54375
151.4225	3.7
151.425	-4.35
151.4275	-3.775
151.43	-1.2125
151.4325	-1.94375
151.435	-4.78125
151.4375	-9.81875
151.44	-16.775
151.4425	-20.50625
151.445	-17.99375
151.4475	-12.71875
151.45	-8.96875
151.4525	-8.93125
151.455	-8.45625
151.4575	-1.1375
151.46	8.525
151.4625	11.51875
151.465	8.89375
151.4675	6.18125
151.47	5.2
151.4725	6.8375
151.475	11.10625
151.4775	16.125
151.48	18.5875
151.4825	14.60625
151.485	4.39375
151.4875	-8.44375
151.49	-21.4625
151.4925	-30.44375
151.495	-31.74375
151.4975	-27.65625
151.5	-22.25625
151.5025	-17.30625
151.505	-11.775
151.5075	-5.2
151.51	-3.1625
151.5125	-7.76875
151.515	-9.8625
151.5175	-5.9875
151.52	-4.16875
151.5225	-5.94375
151.525	-5.49375
151.5275	-2.38125
151.53	0.75625
151.5325	1.75
151.535	-2.31875
151.5375	-11.5375
151.54	-20.80625
151.5425	-26.08125
151.545	-26.55
151.5475	-20.725
151.55	-11
151.5525	-4.75
151.555	-3.3
151.5575	-0.50625
151.56	6.89375
151.5625	15.85625
151.565	22.4125
151.5675	24.4125
151.57	20.13125
151.5725	10.9875
151.575	3.55625
